project,filename,sample_number,concentration_mg_L,integration_time_ms,excitation_nm,target_pigment,area_per_ms,band_1_energy,band_1_energy_per_ms,band_2_energy,band_2_energy_per_ms,band_3_energy,band_3_energy_per_ms,band_4_energy,band_4_energy_per_ms,band_ratio_2_1,band_ratio_3_1,band_ratio_4_1,centroid,elapsed_minutes,kurtosis,max_intensity,max_per_ms,mean_intensity,peak_1_fwhm,peak_1_intensity,peak_1_intensity_per_ms,peak_1_pos,peak_2_fwhm,peak_2_intensity,peak_2_intensity_per_ms,peak_2_pos,peak_3_fwhm,peak_3_intensity,peak_3_intensity_per_ms,peak_3_pos,peak_4_fwhm,peak_4_intensity,peak_4_intensity_per_ms,peak_4_pos,peak_5_fwhm,peak_5_intensity,peak_5_intensity_per_ms,peak_5_pos,peak_count,peak_ratio_1_2,skewness,snr,std_intensity,total_area
blue-211,rec_20260211_151921.npz,21,3.643,1200,450,chl_a,15247.476948572295,2573491.047435903,2144.5758728632527,3560328.772610731,2966.9406438422757,9786292.593589766,8155.243827991471,2376859.9246503552,1980.716603875296,1.3834626610254048,3.8027303818835256,0.9235936247062289,1960.5579691062628,40.11666666666667,-0.4663756891059716,12811.998834498863,10.67666569541572,5015.617417293518,1028.0,12228.350582750609,10.190292152292175,2175,1022.0,12459.313286713314,10.382761072261095,2226,1000.0,12811.998834498863,10.67666569541572,2287,1011.0,12622.875524475552,10.51906293706296,2338,1034.0,12100.166550116577,10.083472125097147,2398,5,1.0149825853591445,1.009664494350068,12.196345425522315,3574.465048785627,18296972.338286754
blue-211,rec_20260211_152007.npz,22,3.461,1200,450,chl_a,7990.729215326359,1196325.1557109584,996.937629759132,1460152.6230769265,1216.7938525641055,5561010.202797215,4634.17516899768,1371387.07680653,1142.8225640054416,1.2205315721286318,4.648410322436453,1.1463330602552906,2048.2292086540915,40.88333333333333,-0.10842354040862201,7581.8114219114395,6.3181761849262,2628.5293471468285,921.0,7174.559906759923,5.978799922299936,2267,874.0,7405.454778554797,6.171212315462331,2325,870.0,7581.8114219114395,6.3181761849262,2383,870.0,7561.340093240111,6.301116744366759,2473,870.0,7525.307925407942,6.271089937839951,2531,5,1.002707367797096,1.1787689144681481,12.816138530216818,2229.935148212074,9588875.05839163
blue-211,rec_20260211_152111.npz,23,3.288,1200,450,chl_a,9283.46824543514,1362095.2274281306,1135.079356190109,1820215.829759134,1516.8465247992783,6497705.082362097,5414.754235301747,1460145.754972808,1216.7881291440067,1.3363352231958214,4.770375045385688,1.0719850753238551,2025.3530060123912,41.95,-0.17009527208213715,8913.911577311597,7.428259647759664,3053.7724491562967,948.0,8500.990753690772,7.084158961408977,2227,911.0,8786.293162393182,7.321910968660985,2285,907.0,8913.911577311597,7.428259647759664,2347,911.0,8795.870784770803,7.329892320642336,2404,945.0,8584.465034965056,7.15372086247088,2454,5,1.0134200234893367,1.137240231754165,12.409015972455387,2572.608136922425,11140161.89452217
blue-211,rec_20260211_152311.npz,24,3.124,1200,450,chl_a,9219.51366724944,1319311.3956876486,1099.4261630730405,1661391.318181822,1384.4927651515184,6509443.5846154,5424.536320512833,1573270.1022144558,1311.0584185120465,1.2592867185202137,4.933970559105617,1.1924933774974629,2059.7671830952727,43.95,-0.19308510145490043,8833.706293706313,7.361421911421927,3032.734758963631,923.0,8568.904428904449,7.140753690753707,2332,918.0,8721.720279720299,7.268100233100249,2384,916.0,8780.51515151517,7.317095959595975,2473,915.0,8833.706293706313,7.361421911421927,2533,924.0,8532.64522144524,7.1105376845377,2592,5,1.006057861215804,1.1531048370293027,12.54415794422215,2637.653107028437,11063416.400699327
blue-211,rec_20260211_152401.npz,25,2.968,1200,450,chl_a,5105.8697881701755,727861.1734848502,606.5509779040418,926938.4496503518,772.4487080419598,3600823.1209790297,3000.6859341491913,871421.0016899786,726.1841680749822,1.2735099541199049,4.947129002278039,1.1972351781285342,2056.706394655511,44.78333333333333,-0.26917451178010676,4999.971794871805,4.1666431623931715,1679.5624303191369,955.0,4506.71351981353,3.7555945998446085,2249,938.0,4696.7213286713395,3.9139344405594496,2304,871.0,4934.65442890444,4.112212024087033,2374,870.0,4999.971794871805,4.1666431623931715,2477,935.0,4797.415034965045,3.997845862470871,2534,5,1.0132364620275685,1.1152370832443,12.361456435911984,1458.0389191756215,6127043.745804211
blue-211,rec_20260211_152508.npz,26,2.819,1500,450,chl_a,6898.29652400934,1211639.171134424,807.7594474229493,1514888.638694642,1009.9257591297614,6220682.619036533,4147.121746024355,1400234.3571484103,933.4895714322736,1.2502803431786496,5.134104911128188,1.1556529291120639,2061.93512159415,45.9,-0.09029110495777415,8452.706293706315,5.635137529137543,2836.4706102012087,895.0,8184.351748251767,5.456234498834512,2304,863.0,8347.141025641045,5.564760683760697,2378,863.0,8348.730458430478,5.565820305620319,2429,853.0,8452.706293706315,5.635137529137543,2479,863.0,8357.456643356663,5.571637762237776,2536,5,1.0113969661362665,1.2060743088170207,13.84705880320918,2529.3234545839327,10347444.78601401
blue-211,rec_20260211_152918.npz,27,2.678,3000,450,chl_a,7441.522418181834,3652888.893939402,1217.629631313134,3586663.4463869543,1195.5544821289848,11081178.510256436,3693.7261700854788,4003836.403962713,1334.6121346542377,0.981870390949387,3.0335383396526217,1.0960739623385691,1988.95262423878,50.06666666666667,-0.36181234891833514,15353.308158508195,5.117769386169398,6119.673041267955,1032.0,14674.975524475558,4.891658508158519,2349,993.0,15245.551981352015,5.081850660450671,2424,990.0,15353.308158508195,5.117769386169398,2491,997.0,15061.3356643357,5.020445221445233,2548,1046.0,14390.564102564134,4.796854700854712,2628,5,1.0070680403889596,1.0065104162912313,8.08321692785263,4238.118843261783,22324567.254545502
blue-211,rec_20260211_153034.npz,28,2.544,3000,450,chl_a,7157.576217832184,2901125.3842657404,967.0417947552468,3320864.604195812,1106.9548680652706,12153019.998368327,4051.0066661227756,3097718.6666666735,1032.5728888888912,1.1446815164234294,4.189070925469219,1.0677644901068934,2025.2586377725302,51.333333333333336,-0.14694105753488218,16686.380186480223,5.562126728826741,5886.16465282252,899.0,16212.247319347356,5.404082439782452,2336,895.0,16440.657109557145,5.480219036519048,2387,893.0,16585.891375291412,5.528630458430471,2443,893.0,16686.380186480223,5.562126728826741,2500,899.0,16195.140559440595,5.398380186480199,2561,5,1.0060586922291384,1.142389375652741,10.57787978041853,4830.276077003847,21472728.653496552
blue-211,rec_20260211_153133.npz,29,2.417,3000,450,chl_a,6056.385561888126,2601208.823076929,867.0696076923097,3028884.0983683052,1009.6280327894351,9908643.733333357,3302.881244444452,2630420.0308857867,876.8066769619289,1.1644140491517656,3.8092457804339515,1.011229858806301,1992.6807904104735,52.31666666666667,-0.4640745959042283,12900.979254079284,4.300326418026428,4980.580231815893,1020.0,12504.917249417278,4.168305749805759,2223,1004.0,12802.531468531499,4.267510489510499,2285,1002.0,12900.979254079284,4.300326418026428,2347,1005.0,12717.585314685344,4.239195104895114,2415,1017.0,12629.55198135201,4.20985066045067,2473,5,1.0076897124439623,1.0036733474654485,9.520550977163582,3777.844830530798,18169156.685664378
blue-211,rec_20260211_153235.npz,30,2.296,3000,450,chl_a,5601.892043473206,2498280.6751748305,832.7602250582768,2947180.5778554846,982.3935259518282,8890035.066899788,2963.345022299929,2470179.810489516,823.3932701631719,1.1796835348170958,3.558461287092036,0.9887519184835594,1979.2745850294552,53.35,-0.4158336910917182,11748.86876456879,3.9162895881895965,4606.819114698361,1036.0,11201.000466200492,3.7336668220668305,2285,1015.0,11553.810489510513,3.851270163170171,2347,1004.0,11617.768997669024,3.8725896658896746,2415,1000.0,11748.86876456879,3.9162895881895965,2471,1016.0,11508.3610722611,3.8361203574203664,2533,5,1.011284418456424,1.0038749771615936,9.675155909405346,3308.0627057707466,16805676.13041962
